Year,Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,Events,10.9,19.4,6.5,23.5,30,6.5,0,0,0,0,0,0,0
SP,Raw,1902,1197,448,1624,2072,448,0,0,0,0,0,0,0
SP,Test,157,600,500,500,500,500,500,500,0,0,0,0,0
SP,Reco,1501,894,134,487,621,621,621,621,0,0,0,0,0
SP,CPU,2,3,1,4,5,5,5,5,0,0,0,0,0
SP,Sim Events,1.25,5,5,5,5,5,5,5,0,0,0,0,0
SP,Sim,250,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0
SP,Sim-CPU,0.938,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0,0,0,0,0
,,,,,,,,,,,,,,
DP,Events,0,1,21.6,61.8,64.4,21.6,0,0,0,0,0,0,0
DP,Raw,0,125,238,680.9,709.6,238,0,0,0,0,0,0,0
DP,Test,0,42,500,500,501,502,500,500,0,0,0,0,0
DP,Reco,0,137,238,680.9,709.6,238,238,238,0,0,0,0,0
DP,CPU,0,0,4,11.4,11.9,4,4,4,0,0,0,0,0
DP,Sim Events,1.25,5,5,5,5,5,5,5,0,0,0,0,0
DP,Sim,250,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0
DP,Sim-CPU,0.938,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ND,Events,0,0,0,0,10,10,0,0,0,0,25,25,25
ND,Raw,0,0,0,0,100,100,0,0,0,0,250,250,250
ND,Test,0,0,0,0,300,300,0,0,0,0,500,500,500
ND,Reco,0,0,0,0,200,200,0,0,0,0,250,250,250
ND,CPU,0,0,0,0,0.3,0.3,0.3,0.3,0,0,1.2,1.2,1.2
ND,Sim Events,0,0,10,25,10,10,10,10,50,50,100,100,100
ND,Sim,0,0,200,500,200,200,400,400,2000,2000,5000,5000,5000
ND,Sim-CPU,0,0,1,3,1.2,1.2,1.2,1.2,5,6,6,12,12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FD,Events,0,0,0,0,0,0,0,0,0,2.2,2.2,4.4,4.4
FD,Raw,0,0,0,0,0,0,0,0,0,5454,5454,6817.5,6817.5
FD,Test,0,0,0,0,0,0,0,0,5500,10500,10500,10500,10500
FD,Reco,0,0,0,0,0,0,0,0,136,136,136,272,272
FD,CPU,0,0,0,0,0,0,0,0,5,5,5,10,10
FD,Sim Events,0,0,0,0,0,0,0,0,10,10,10,10,10
FD,Sim,0,0,0,0,0,0,0,0,2000,2000,2000,2000,2000
FD,Sim-CPU,0,0,0,0,0,0,0,0,7.5,7.5,7.5,7.5,7.5
